"id","adres","locatie","postcode","zaaknaam","einddatum","begindatum","zaaknummer","zaak_categorie","status_vergunning","zaak_specificatie","o_tijden_terras_vr_za_tot","o_tijden_terras_vr_za_van","o_tijden_terras_zo_do_tot","o_tijden_terras_zo_do_van","openingstijden_vr_za_tot","openingstijden_vr_za_van","openingstijden_zo_do_tot","openingstijden_zo_do_van","status_tijdelijk_terras","tijdelijk_terras_details","publ_besluit_tijdelijk_terras","toestemming_tijdelijk_terras","terrasgeometrie"
"42","Amstel 50-H","SRID=4326;POINT(4.89548248073022 52.3668861320028)","1017AB","Café Fame","2021-01-01","2018-01-01","12482","Café","Verleend","Café","2:00","9:00","1:00","9:00","4:00","9:00","3:00","9:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_12941_Amstel 50-H-2056376_1.DOCX.pdf","16-07-2020","16-07-2020","SRID=4326;MULTIPOLYGON(((4.89545970455801 52.3669103535399,4.89549347112701 52.3669105743322,4.89549328294454 52.3669213585561,4.89545951636735 52.3669211377638,4.89545970455801 52.3669103535399)))"
"43","Vijzelgracht 17","SRID=4326;POINT(4.89178272420639 52.3616040060222)","1017HM","Trattoria That's Amore","2023-02-01","2018-02-01","10295","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_10722_Vijzelgracht 17-2103504_1.DOCX.pdf","28-07-2020","","SRID=4326;MULTIPOLYGON(((4.89174104431597 52.3616331313518,4.8917123158071 52.3616368405167,4.89170216759328 52.3616073807981,4.89173089608393 52.3616036716356,4.89174104431597 52.3616331313518)),((4.89172343972779 52.3615820262502,4.89172768077424 52.3615943377738,4.89169895228933 52.3615980469356,4.89169471125049 52.3615857354109,4.89172343972779 52.3615820262502)))"
"44","Osdorpplein 776","SRID=4326;POINT(4.8050872388445 52.358747380258)","1068TC","Brasserie de Serre","2021-11-15","2018-10-01","7256","Café","Verleend","Eetcafé","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_7424_Osdorpplein 776-1960920_ver_7424_Osdorpplein 776-1960920.pdf","18-06-2020","",""
"45","Rembrandtplein 44","SRID=4326;POINT(4.8972127200502 52.3657608619929)","1017CV","Rain Amsterdam B.V.","2025-01-01","2020-01-01","8812","Café","Verleend","Café","02:00","09:00","01:00","09:00","04:00","09:00","03:00","09:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_9077_Rembrandtplein 44-1966069_1.DOCX.pdf","23-06-2020","","SRID=4326;MULTIPOLYGON(((4.89727893662585 52.3657953693387,4.89725859811008 52.3658478365835,4.89711574893602 52.365827086045,4.8971360876107 52.3657746188247,4.89727893662585 52.3657953693387)))"
"46","Rozengracht 114-H","SRID=4326;POINT(4.87917177722261 52.3731895471447)","1016NH","Cannibale Royale Rozengracht","2022-03-01","2019-03-01","15043","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Geweigerd","","30-06-2020","30-06-2020","SRID=4326;MULTIPOLYGON(((4.87925337084307 52.3731709419562,4.87921867641903 52.3731623216594,4.87923317497027 52.3731404623961,4.87926786938009 52.3731490826885,4.87925337084307 52.3731709419562)),((4.87920469835297 52.3731333869876,4.87919019979007 52.3731552462475,4.87917513833732 52.3731515040178,4.87918963690642 52.3731296447598,4.87920469835297 52.3731333869876)))"
"47","Zeedijk 56-H","SRID=4326;POINT(4.9007837350983 52.3748440178446)","1012BA","Ristorante Italiano San Giorgio","2023-03-01","2020-03-01","15729","Restaurant","Verleend","Restaurant","02:00","07:00","01:00","07:00","03:00","07:00","01:00","07:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_14108_Zeedijk 56-H-2115844_1.DOCX.pdf","05-08-2020","05-08-2020",""
"48","Krijn Taconiskade 328","SRID=4326;POINT(5.00547061055033 52.3528124525372)","1087HW","Dok48","2024-06-01","2019-04-04","8819","Eethuis","Verleend","Eethuis","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_9086_Krijn Taconiskade 328-1979050_1.DOCX.pdf","01-07-2020","30-06-2020","SRID=4326;MULTIPOLYGON(((5.00546168775726 52.35291671777,5.00558405772595 52.3530075304446,5.00555915127852 52.3530201142766,5.00543678132619 52.3529293015766,5.00546168775726 52.35291671777)),((5.00517658269412 52.3529873580227,5.00523884901042 52.3529558986335,5.00542006832128 52.3530903848722,5.00535780194439 52.3531218443554,5.00517658269412 52.3529873580227)))"
"49","Beethovenstraat 43","SRID=4326;POINT(4.87734359751238 52.3482411166473)","1077HN","Brooks Brasserie / Wang Hotel V.O.F.","","2018-10-31","13063","Restaurant","Aangevraagd","Restaurant","0:00","7:00","0:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_13521_Beethovenstraat 43-1979902_1.DOCX.pdf","01-07-2020","01-07-2020","SRID=4326;MULTIPOLYGON(((4.87727684104248 52.3482355357304,4.87726661217816 52.3482361185873,4.87725281164907 52.3481452887716,4.8772630404927 52.3481447059158,4.87727684104248 52.3482355357304)),((4.87722427742708 52.3481467994073,4.87723451560388 52.3482141834999,4.87720923570663 52.3482156239785,4.87719899756782 52.3481482398837,4.87722427742708 52.3481467994073)))"
"50","Ferdinand Bolstraat 13-H","SRID=4326;POINT(4.89075385564741 52.3564587981363)","1072LA","Lafayette B.V. / Ginger","2024-02-01","2018-11-27","13096","Restaurant","Verleend","Restaurant","","","","","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_13555_Ferdinand Bolstraat 13-3-1980693_1.DOCX.pdf","01-07-2020","01-07-2020",""
"51","Keizersgracht 451-HV","SRID=4326;POINT(4.88638586978112 52.3663177848333)","1017DK","Morlang","2021-06-01","2016-06-01","5619","Café","Verleend","Café","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_5759_Keizersgracht 451-HV-1981350_1.DOCX.pdf","01-07-2020","","SRID=4326;MULTIPOLYGON(((4.88639747985277 52.3662881389188,4.88636505539408 52.3663063869942,4.88634716937998 52.3662944778999,4.88637959383731 52.3662762298294,4.88639747985277 52.3662881389188)))"
"52","Zeeburgerstraat 1","SRID=4326;POINT(4.92587546959765 52.3668195659161)","1018AG","Langendijk","2021-06-01","2018-06-01","11199","Café","Verleend","Café","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_11662_Zeeburgerstraat 1-1980695_ver_15457_Zeeburgerpad 1-1980695_2.DOCX.pdf","01-07-2020","01-07-2020","SRID=4326;MULTIPOLYGON(((4.92593016327064 52.3667732937874,4.92587827587316 52.3667415057632,4.9259613628493 52.3666906860706,4.92601325024713 52.3667224740588,4.92593016327064 52.3667732937874)),((4.92577407783986 52.3668149651114,4.92578694977118 52.3669044324028,4.92560972717597 52.3669138857554,4.92577407783986 52.3668149651114)))"
"53","Reguliersdwarsstraat 117","SRID=4326;POINT(4.89472900056421 52.3659842469054)","1017BL","Bangkok","2025-08-01","2020-08-01","3386","Restaurant","Verleend","Restaurant","02:00","07:00","01:00","07:00","03:00","07:00","01:00","07:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_3477_Reguliersdwarsstraat 117-1966666_1.DOCX.pdf","24-06-2020","24-06-2020","SRID=4326;MULTIPOLYGON(((4.89466266670807 52.3659356006502,4.89476259561209 52.3659502898756,4.8947715604464 52.3659686415208,4.89476755979908 52.3659680534365,4.89466742936732 52.3659533344888,4.89466266670807 52.3659356006502)),((4.8946249993352 52.3659393885409,4.89462975958138 52.3659571134488,4.89461594108043 52.3659585041127,4.89461534672805 52.3659562910236,4.89461118083961 52.3659407792045,4.8946249993352 52.3659393885409)),((4.89463948649718 52.3659379305826,4.89466266595437 52.3659355978454,4.89466742936732 52.3659533344888,4.89464424990112 52.3659556672269,4.89463948649718 52.3659379305826)))"
"54","Egeldonk 50","SRID=4326;POINT(4.96858001732342 52.3253925382807)","1103AK","Restaurant Elixer","2022-06-01","2019-06-01","15292","Restaurant","","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_15846_Egeldonk 50-2105369_Besluit Annex Egeldonk 50.pdf","30-07-2020","30-07-2020",""
"55","Waterlooplein 129","SRID=4326;POINT(4.90214416808772 52.3686032391228)","1011PG","Coffee Company Waterlooplein 129 B.V.","2025-06-01","2020-06-01","8963","Alcoholvrij","Verleend","Lunchroom","02:00","07:00","01:00","07:00","04:00","07:00","03:00","07:00","Deels verleend","https://terrasvergunningen.amsterdam.nl/ver_19232438_Waterlooplein 129-1974065_1.DOCX.pdf","29-06-2020","29-06-2020","SRID=4326;MULTIPOLYGON(((4.90203176731498 52.3685968473795,4.90201333385071 52.3685800665175,4.90205019127304 52.3685648966467,4.90206862474497 52.3685816775031,4.90203176731498 52.3685968473795)),((4.90214656874454 52.3685252292606,4.9021650022365 52.3685420101023,4.90209128748283 52.3685723499039,4.90207285400619 52.368555569051,4.90214656874454 52.3685252292606)))"
"56","Oudezijds Kolk 69","SRID=4326;POINT(4.9009194575854 52.3758601676836)","1012AL","Dabka B.V.","2025-05-01","2020-05-01","10657","Restaurant","Verleend","Restaurant","02:00","07:00","01:00","07:00","03:00","07:00","01:00","07:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_11103_Oudezijds Kolk 69-2055875_1.DOCX.pdf","16-07-2020","16-07-2020","SRID=4326;MULTIPOLYGON(((4.90081255426012 52.3758964496881,4.9008238244639 52.3758893770529,4.90085032150447 52.375904928664,4.90083883918376 52.3759121355488,4.90081255426012 52.3758964496881)),((4.90087859520935 52.3759355201821,4.90084882835281 52.3759201793456,4.90085910892269 52.3759126556065,4.90088895813092 52.3759279363876,4.90087859520935 52.3759355201821)),((4.90085769603407 52.3758856003567,4.90086806015676 52.375878017391,4.90092043704756 52.3759048308282,4.90091007292752 52.3759124137985,4.90085769603407 52.3758856003567)))"
"57","Thorbeckeplein 5A","SRID=4326;POINT(4.89611520375633 52.3654327678139)","1017CS","De Heeren van Aemstel","2021-09-01","2016-09-01","3666","Café","Verleend","Café","2:00","9:00","1:00","9:00","5:00","9:00","3:00","9:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_3779_Thorbeckeplein 5A-1961727_2.DOCX.pdf","22-06-2020","22-06-2020","SRID=4326;MULTIPOLYGON(((4.89604967769134 52.3654571980763,4.89600252278174 52.3654548708063,4.89601655389384 52.3653495312161,4.89606428541193 52.3653519293284,4.89604967769134 52.3654571980763)))"
"58","Spui 15","SRID=4326;POINT(4.8906020733278 52.3687262160967)","1012WX","Seafood Bar Spui B.V.","2020-11-01","2017-11-01","12483","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Deels verleend","https://terrasvergunningen.amsterdam.nl/ver_12942_Spui 15-1971944_1.DOCX.pdf","25-06-2020","25-06-2020","SRID=4326;MULTIPOLYGON(((4.89053461364609 52.3686652899965,4.89050666829138 52.3687220292115,4.89056347506286 52.368732428457,4.89054878072869 52.3687625708348,4.89050922671553 52.3687553299439,4.89045863693002 52.3687460687821,4.89050144846673 52.3686592321714,4.89053461364609 52.3686652899965)),((4.89064787672277 52.368747879258,4.89063315234659 52.3687780161397,4.89058110461903 52.3687684881456,4.89058682349146 52.368756783167,4.89059582902736 52.3687383512703,4.89061400457811 52.3687416785381,4.89064787672277 52.368747879258)))"
"59","Runstraat 12-H","SRID=4326;POINT(4.8837132705237 52.3689488120198)","1016GK","De Doffer","2022-10-01","2019-10-01","3495","Café","Verleend","Café","2:00","9:00","1:00","9:00","4:00","9:00","3:00","9:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_3600_Runstraat 12-H-1969289_1.DOCX.pdf","24-06-2020","24-06-2020","SRID=4326;MULTIPOLYGON(((4.88368385750822 52.3689107589538,4.88373958484803 52.3689090910472,4.88374051704179 52.3689207606712,4.88368478968738 52.3689224285782,4.88368385750822 52.3689107589538)))"
"60","Roelof Hartplein 1","SRID=4326;POINT(4.88233314391816 52.3534393442249)","1071TR","Linaro BV/Café Wildschut","2024-11-01","2019-08-14","4672","Café","Verleend","Café","1:00","7:00","0:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_4813_Roelof Hartplein 1-1967813_1.DOCX.pdf","24-06-2020","10-06-2020","SRID=4326;MULTIPOLYGON(((4.88218860390045 52.3533844342966,4.88217950427111 52.353372158574,4.88245146239784 52.3532965718292,4.88246056208692 52.3533088475313,4.88245374666144 52.3533209307887,4.88244812432381 52.353331141504,4.88244377960261 52.3533388627847,4.88244100074369 52.3533431602804,4.88243771066292 52.3533476540548,4.88243222529442 52.3533539529348,4.88242866725357 52.353357595042,4.8824228233168 52.3533628717637,4.8824158676159 52.3533682571535,4.88240947842141 52.3533726526757,4.88240281675932 52.3533765934236,4.88239425127206 52.3533811214304,4.88238811049032 52.3533840154143,4.88238271710933 52.3533862888622,4.88237532768565 52.3533891208255,4.88236761694878 52.353391724613,4.88235921377423 52.3533941836963,4.88235007221419 52.3533964695288,4.88234172400327 52.3533981633719,4.88233374981502 52.3533995185974,4.88232735395299 52.3534004269317,4.8823179489426 52.3534014642019,4.88230845590133 52.3534021041844,4.88230179014966 52.3534023309472,4.88229332116364 52.3534024366246,4.88228545722821 52.3534022330195,4.88227764213952 52.353401802815,4.8822691362249 52.3534010861587,4.88226340585489 52.3534004380277,4.88225716909411 52.3533995609321,4.88225065696957 52.3533984842073,4.88224340839395 52.3533970641343,4.88223607050048 52.3533953601717,4.88223150235306 52.3533942350262,4.88220574919943 52.35338837008,4.88218860390045 52.3533844342966)))"
"61","Herengracht 558","SRID=4326;POINT(4.89776572873542 52.3648733765804)","1017CG","Ali Ocakbasi","2020-12-01","2017-12-01","12381","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_12821_Herengracht 558-1981553_1.DOCX.pdf","01-07-2020","","SRID=4326;MULTIPOLYGON(((4.89775029003833 52.3649117766018,4.89775473999669 52.3649032120195,4.89770607003807 52.3648937355181,4.89769877741834 52.3648923155744,4.89769432745032 52.3649008801547,4.89775029003833 52.3649117766018)),((4.89775029003836 52.3649117766018,4.89775029003833 52.3649117766018,4.89775029003833 52.3649117766018,4.89775029003836 52.3649117766018)))"
"62","Javastraat 149-1","SRID=4326;POINT(4.93829676223997 52.3639013634125)","1094HE","De Jonge Admiraal","2023-02-01","2017-11-12","11793","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_12266_Javastraat 149-1-1955156_2.DOCX.pdf","16-06-2020","16-06-2020","SRID=4326;MULTIPOLYGON(((4.93833592567409 52.3638390414705,4.93825577472137 52.3638381896827,4.9382570488584 52.3637932595347,4.93833719973016 52.3637941113216,4.93833592567409 52.3638390414705)),((4.93833490642728 52.3638749855894,4.93827619139704 52.3638743616126,4.93827670104439 52.3638563895535,4.9383354160509 52.36385701353,4.93833490642728 52.3638749855894)),((4.93829244552232 52.3640176280543,4.93836406783321 52.3639965987757,4.93837676556782 52.3640128058288,4.93830514323678 52.3640338351149,4.93829244552232 52.3640176280543)),((4.93831784096045 52.3640500421741,4.93838946331164 52.3640290128804,4.93840216106472 52.3640452199306,4.93833053869339 52.3640662492319,4.93831784096045 52.3640500421741)))"
"63","Thorbeckeplein 20-H","SRID=4326;POINT(4.89557369277136 52.3652777345209)","1017CS","Woody's","2023-02-01","2018-02-01","6957","Café","Verleend","Café","2:00","9:00","1:00","9:00","4:00","9:00","3:00","9:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_7108_Thorbeckeplein 20-H-1961600_1.DOCX.pdf","19-06-2020","19-06-2020","SRID=4326;MULTIPOLYGON(((4.89576205926061 52.3653013560526,4.89567262156916 52.3652985309437,4.89567739548599 52.3652418959886,4.89576683306385 52.3652447210937,4.89576205926061 52.3653013560526)),((4.89565540264077 52.3652412012803,4.89565123395117 52.3652906558917,4.89559082687287 52.3652887477364,4.89559499562944 52.3652392931272,4.89565540264077 52.3652412012803)))"
"64","Rozengracht 16","SRID=4326;POINT(4.88217385569119 52.3739123903378)","1016NB","Amigo Café","2022-03-01","2019-03-01","15216","Café","Verleend","Café","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Geweigerd","","15-07-2020","15-07-2020","SRID=4326;MULTIPOLYGON(((4.88215873079773 52.3738757312795,4.8822225422095 52.3738925184814,4.88221382444628 52.3739048851998,4.88221312053859 52.3739048013136,4.88215001236489 52.3738881454349,4.88215873079773 52.3738757312795)))"
"65","Oudezijds Voorburgwal 38","SRID=4326;POINT(4.8993715795951 52.3750629046539)","1012GD","Museum Ons' Lieve Heer op Solder","2024-12-01","2019-12-01","13089","Culturele Horeca","Verleend","Horeca VI","","","","","0:00","0:00","0:00","0:00","Geweigerd","","21-07-2020","21-07-2020",""
"66","Lijnbaansgracht 277-H","SRID=4326;POINT(4.88634388500497 52.3622282568199)","1017RL","De Spiegel","2025-03-01","2020-03-01","2616","Café","Verleend","Café","02:00","07:00","01:00","07:00","03:00","07:00","01:00","07:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_2721_Lijnbaansgracht 277-H-1955039_2.DOCX.pdf","24-06-2020","24-06-2020","SRID=4326;MULTIPOLYGON(((4.88629862491567 52.3621785581025,4.88624971533452 52.3622120658065,4.88621140223648 52.3621911059994,4.88621504778066 52.3621683765161,4.8862438919377 52.3621486155394,4.88629862491567 52.3621785581025)))"
"67","Warmoesstraat 115","SRID=4326;POINT(4.89656251752175 52.3741166078349)","1012JA","Hotel Nelly' Inn B.V.","2024-05-01","2019-05-01","6293","Café","Verleend","Café","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Deels verleend","https://terrasvergunningen.amsterdam.nl/ver_6470_Warmoesstraat 115-1975886_1.DOCX.pdf","03-08-2020","03-08-2020","SRID=4326;MULTIPOLYGON(((4.89649357349184 52.3741180676208,4.89648830856622 52.3741211996687,4.89646681540821 52.3741076658945,4.89647208033374 52.3741045338476,4.89649357349184 52.3741180676208)))"
"68","Van Woustraat 120-H","SRID=4326;POINT(4.90198372695922 52.3537191469873)","1073LT","Nazka","2022-06-01","2019-03-29","15231","Restaurant","Verleend","Restaurant","1:00","7:00","0:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver__Van Woustraat 120-H-2095482_1.DOCX.pdf","22-07-2020","22-07-2020","SRID=4326;MULTIPOLYGON(((4.90183186525282 52.353780052377,4.90184216928402 52.3537671306259,4.9018738237038 52.3537765946642,4.90186351967958 52.353789516418,4.90183186525282 52.353780052377,4.90183186525282 52.353780052377)),((4.90187866799652 52.3537940454576,4.90188897201739 52.3537811237024,4.90192062645711 52.3537905877282,4.90191032244322 52.353803509486,4.90187866799652 52.3537940454576)))"
"69","Nieuwmarkt 24-H","SRID=4326;POINT(4.89960488691879 52.3725383617301)","1012CR","Poco Loco","2022-01-01","2017-01-01","6241","Café","Verleend","Eetcafé","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_6411_Nieuwmarkt 24-H-2103449_1.DOCX.pdf","29-07-2020","29-07-2020","SRID=4326;MULTIPOLYGON(((4.89975653985893 52.3724686165872,4.89979154216783 52.3725161373447,4.89977815581761 52.3725198310498,4.89974315352014 52.3724723102886,4.89975653985893 52.3724686165872)),((4.89966642789428 52.3725265176194,4.89973583260737 52.3725067438129,4.89974295879364 52.3725161138567,4.89967395656566 52.3725357729938,4.89966642789428 52.3725265176194)),((4.89965996939751 52.3725179486802,4.89964633672891 52.3725000233689,4.89971569340156 52.3724802632518,4.89972932609211 52.3724981885551,4.89965996939751 52.3725179486802)))"
