"id","adres","locatie","postcode","zaaknaam","einddatum","begindatum","zaaknummer","zaak_categorie","status_vergunning","zaak_specificatie","o_tijden_terras_vr_za_tot","o_tijden_terras_vr_za_van","o_tijden_terras_zo_do_tot","o_tijden_terras_zo_do_van","openingstijden_vr_za_tot","openingstijden_vr_za_van","openingstijden_zo_do_tot","openingstijden_zo_do_van","status_tijdelijk_terras","tijdelijk_terras_details","publ_besluit_tijdelijk_terras","toestemming_tijdelijk_terras","terrasgeometrie"
"2490","Pieter Calandlaan 228H","SRID=4326;POINT(4.79795550969171 52.3519084866546)","1069LA","Snack City","2020-06-18","2015-06-17","9006","Fastfood","Verleend","Snackbar","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.79739320184117 52.3516927441992,4.79731033779987 52.3516758669527,4.79731774930112 52.3516622221267,4.79740061331983 52.351679099368,4.79739320184117 52.3516927441992)))"
"2491","Czaar Peterstraat 74","SRID=4326;POINT(4.92850119024661 52.3693707517061)","1018PR","Wicked Waffles","2024-05-01","2019-05-01","13257","Alcoholvrij","Verleend","Lunchroom","2:00","7:00","1:00","7:00","4:00","7:00","3:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.92849812521691 52.3693997504063,4.92847719735353 52.3694123597408,4.92843599727802 52.3693867397502,4.92845692514098 52.3693741304228,4.92849812521691 52.3693997504063)))"
"2492","Land van Cocagneplein 1D","SRID=4326;POINT(4.92756709150085 52.3569912236297)","1093NB","Burger 'n Shake","2024-03-01","2019-03-01","13174","Alcoholvrij","Verleend","Lunchroom","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.92747853989572 52.3569607807937,4.92750417722835 52.356918674581,4.92768297936381 52.3569594869305,4.92765734217668 52.3570015931815,4.92747853989572 52.3569607807937)))"
"2493","Mosveld 47","SRID=4326;POINT(4.91340439376087 52.3907670937309)","1031AC","Eetcafé Mosveld","2022-05-01","2019-05-01","9356","Eethuis","Verleend","Eethuis","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.9132696849689 52.390793735322,4.91328832830903 52.3907865493605,4.91333922564023 52.3908359756723,4.91332058228754 52.3908431616418,4.9132696849689 52.390793735322)),((4.91345436174889 52.3908378293243,4.91337978837313 52.3908665732571,4.91336412761913 52.390851365169,4.91343870097944 52.3908226212459,4.91345436174889 52.3908378293243)))"
"2494","Prins Hendrikkade 130","SRID=4326;POINT(4.90533970500561 52.3738918677232)","1011AP","City Hotel Amsterdam","2025-04-01","2020-04-01","3149","Café","Verleend","Café","","","","","03:00","07:00","01:00","07:00","","","","",""
"2495","Linnaeusstraat 86","SRID=4326;POINT(4.92701109463928 52.3564073900904)","1092CN","Kwekkeboom","2025-02-01","2020-01-06","4742","Alcoholvrij","Verleend","Lunchroom","02:00","07:00","01:00","07:00","03:00","07:00","01:00","07:00","","","","","SRID=4326;MULTIPOLYGON(((4.92708777096957 52.3563880948598,4.92712201997561 52.3563961625942,4.92708249052496 52.3564590728823,4.92705085147293 52.3564517408431,4.92706982208226 52.3564203804625,4.92706777178647 52.3564199231237,4.92708777096957 52.3563880948598)))"
"2496","Sint Luciënsteeg 3","SRID=4326;POINT(4.89149030528468 52.3707071984361)","1012PM","De Stokkenbar","2022-04-01","2019-04-01","3553","Alcoholvrij","Verleend","Tearoom","2:00","7:00","1:00","7:00","4:00","7:00","3:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.89140273592847 52.370727154898,4.89140747332046 52.3707163013737,4.89149400593003 52.3707304517833,4.89148926855763 52.370741305311,4.89148926855763 52.370741305311,4.89140273592847 52.370727154898)),((4.89136159752396 52.3707204275408,4.89136159752396 52.3707204275408,4.89136633492526 52.3707095740181,4.89139470625791 52.3707142135135,4.89139470625791 52.3707142135135,4.89138996886304 52.3707250670372,4.89136159752396 52.3707204275408)))"
"2497","Paul van Vlissingenstr 8A","SRID=4326;POINT(4.92168296366292 52.3339625017084)","1096BK","Amsterdam Congres Exploitatie B.V.","2024-07-01","2019-05-23","13628","Restaurant","Verleend","Restaurant","1:00","7:00","0:00","7:00","3:00","7:00","1:00","7:00","","","","",""
"2498","Palembangstraat 86","SRID=4326;POINT(4.93646787781172 52.3603892744269)","1094TL","Pico","2020-11-01","2015-11-01","569","Café","Verleend","Café","0:00","7:00","23:00","7:00","3:00","7:00","1:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.93660050579267 52.3604348064089,4.9365907044893 52.3604610923618,4.93647621120201 52.3604450906446,4.93648601256947 52.3604188047012,4.93660050579267 52.3604348064089)))"
"2499","Stromarkt 2A","SRID=4326;POINT(4.89404800398728 52.3783932374964)","1012SW","Bagels Sandwich Village","2022-02-01","2019-02-01","13316","Alcoholvrij","Verleend","Lunchroom","2:00","7:00","1:00","7:00","4:00","7:00","3:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.89403594755915 52.3784267815361,4.89409542515292 52.3784071585969,4.89417529000534 52.3784978181061,4.89417481993098 52.3785023025578,4.89411619729804 52.3785000011513,4.89407187770226 52.3784676730316,4.89403594755915 52.3784267815361)),((4.89400784649352 52.3783952119874,4.89406731016808 52.3783755936443,4.89408818619948 52.3783993367076,4.89402872250231 52.378418955061,4.89400784649352 52.3783952119874)))"
"2500","Van Woustraat 130A","SRID=4326;POINT(4.90228129334771 52.3533518732518)","1073LT","Bob G. BV Tapmarin","2023-06-01","2018-02-08","12469","Café","Verleend","Café","","","","","3:00","7:00","1:00","7:00","","","","",""
"2501","Durgerdammerdijk 116B","SRID=4326;POINT(4.99224744038433 52.3777433311119)","1026CG","Zeilvereniging ""Het Y""","2022-05-01","2019-05-01","8782","Additionele horeca","Verleend","Kantine","","","","","3:00","7:00","1:00","7:00","","","","",""
"2502","Jan Pieter Heijestraat 118-H","SRID=4326;POINT(4.8638629544976 52.3626254589701)","1054MH","Qui Pasta NL B.V.","2021-07-01","2018-07-01","14649","Restaurant","Verleend","Restaurant","","","","","3:00","7:00","1:00","7:00","","","","",""
"2503","Meeuwenlaan 120","SRID=4326;POINT(4.92333610210821 52.3864384303038)","1021JN","I Hotel","2020-10-01","2017-10-01","12780","Hotel","Verleend","Horeca V","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","","","","",""
"2504","Rozenstraat 143","SRID=4326;POINT(4.87899240708193 52.3721821707367)","1016NP","Hikage","2022-06-01","2019-06-01","15425","Restaurant","Verleend","Restaurant","","","","","3:00","7:00","1:00","7:00","","","","",""
"2505","Herengracht 169-H","SRID=4326;POINT(4.88837556278359 52.3747924627782)","1015BJ","Heertje Friet","2022-06-01","2019-06-01","15461","Fastfood","Verleend","Snackbar","2:00","7:00","1:00","7:00","4:00","7:00","3:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.88833384156314 52.3747938960137,4.88835594459905 52.3748172188362,4.88834578259384 52.374820826211,4.88832367956148 52.3747975033866,4.88833384156314 52.3747938960137)))"
"2506","Pretoriusstraat 22-H","SRID=4326;POINT(4.92563545138008 52.3560065872945)","1092GG","Restaurant Meram Amsterdam Oost","2020-11-01","2017-11-01","1191","Restaurant","Verleend","Restaurant","1:00","7:00","0:00","7:00","3:00","7:00","1:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.92554217968839 52.3559518221966,4.92555106620152 52.355939487926,4.92559538411982 52.3559514583787,4.92558649761659 52.3559637926525,4.92554217968839 52.3559518221966)),((4.92570146631928 52.3559948010059,4.92565310293329 52.3559817652829,4.92566019965197 52.3559718944946,4.92570856302933 52.3559849302147,4.92570146631928 52.3559948010059)))"
"2507","Lange Leidsedwarsstraat 63-H","SRID=4326;POINT(4.88527128504367 52.363607808536)","1017NH","Piccolino","2021-10-01","2016-10-01","2397","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.88520599196149 52.3636031191541,4.88518176573992 52.3635892676526,4.88518312951228 52.3635865660668,4.88518455127492 52.3635841724022,4.88518617805663 52.3635818245438,4.88518800965428 52.3635795404659,4.8851900461694 52.3635773111812,4.88519224345892 52.3635751454905,4.88519464536123 52.3635730615545,4.88519720793634 52.3635710501995,4.88519994566166 52.363569129462,4.88520284385669 52.3635672992799,4.88525064415829 52.3635351879148,4.88528214864975 52.3635532008001,4.88528214864975 52.3635532008001,4.88520599196149 52.3636031191541)),((4.8852075926218 52.3636186744562,4.88527293268451 52.3636548382336,4.88526210253735 52.363662171577,4.88519676247272 52.3636260077938,4.8852075926218 52.3636186744562)))"
"2508","Korte Papaverweg 12","SRID=4326;POINT(4.91121168850337 52.3938679893542)","1032KB","Café de Ceuvel Coöperatie U.A.","2021-02-01","2018-02-01","11987","Restaurant","Verleend","Restaurant","0:00","7:00","0:00","7:00","2:00","7:00","0:00","7:00","","","","",""
