"ID";"Geslacht";"Migratieachtergrond";"Postcode";"Perioden";"Bevolking_1"
"6115";"T001038";"T001040";"PC1608  ";"2019JJ00";"    1350"
"6137";"T001038";"T001040";"PC1609  ";"2019JJ00";"     105"
"6159";"T001038";"T001040";"PC1611  ";"2019JJ00";"   10260"
"6181";"T001038";"T001040";"PC1613  ";"2019JJ00";"    9280"
"6203";"T001038";"T001040";"PC1614  ";"2019JJ00";"    2170"
"6225";"T001038";"T001040";"PC1616  ";"2019JJ00";"    8150"
"6247";"T001038";"T001040";"PC1617  ";"2019JJ00";"    1810"
"6269";"T001038";"T001040";"PC1619  ";"2019JJ00";"    6805"
"6291";"T001038";"T001040";"PC1621  ";"2019JJ00";"    5560"
"6313";"T001038";"T001040";"PC1622  ";"2019JJ00";"    7680"
"6335";"T001038";"T001040";"PC1623  ";"2019JJ00";"    2560"
"6357";"T001038";"T001040";"PC1624  ";"2019JJ00";"    5495"
"6379";"T001038";"T001040";"PC1625  ";"2019JJ00";"    9615"
"6401";"T001038";"T001040";"PC1627  ";"2019JJ00";"      15"
"6423";"T001038";"T001040";"PC1628  ";"2019JJ00";"   20870"
"6445";"T001038";"T001040";"PC1631  ";"2019JJ00";"     440"
"6467";"T001038";"T001040";"PC1633  ";"2019JJ00";"    3515"
"6489";"T001038";"T001040";"PC1634  ";"2019JJ00";"     435"
"6511";"T001038";"T001040";"PC1636  ";"2019JJ00";"    1270"
"6533";"T001038";"T001040";"PC1641  ";"2019JJ00";"     920"
"6555";"T001038";"T001040";"PC1642  ";"2019JJ00";"      45"
"6577";"T001038";"T001040";"PC1643  ";"2019JJ00";"     470"
"6599";"T001038";"T001040";"PC1645  ";"2019JJ00";"    2850"
"6621";"T001038";"T001040";"PC1646  ";"2019JJ00";"      65"
"6643";"T001038";"T001040";"PC1647  ";"2019JJ00";"    2580"
"6665";"T001038";"T001040";"PC1648  ";"2019JJ00";"    3415"
"6687";"T001038";"T001040";"PC1652  ";"2019JJ00";"     535"
"6709";"T001038";"T001040";"PC1654  ";"2019JJ00";"     720"
"6731";"T001038";"T001040";"PC1655  ";"2019JJ00";"     950"
"6753";"T001038";"T001040";"PC1657  ";"2019JJ00";"    2080"
"6775";"T001038";"T001040";"PC1658  ";"2019JJ00";"     180"
"6797";"T001038";"T001040";"PC1661  ";"2019JJ00";"     435"
"6819";"T001038";"T001040";"PC1662  ";"2019JJ00";"     325"
"6841";"T001038";"T001040";"PC1663  ";"2019JJ00";"     110"
"6863";"T001038";"T001040";"PC1671  ";"2019JJ00";"    8595"
"6885";"T001038";"T001040";"PC1674  ";"2019JJ00";"    1950"
"6907";"T001038";"T001040";"PC1676  ";"2019JJ00";"    1090"
"6929";"T001038";"T001040";"PC1678  ";"2019JJ00";"     870"
"6951";"T001038";"T001040";"PC1679  ";"2019JJ00";"    2345"
"6973";"T001038";"T001040";"PC1681  ";"2019JJ00";"     270"
"6995";"T001038";"T001040";"PC1682  ";"2019JJ00";"     205"
"7017";"T001038";"T001040";"PC1683  ";"2019JJ00";"     215"
"7039";"T001038";"T001040";"PC1684  ";"2019JJ00";"     440"
"7061";"T001038";"T001040";"PC1685  ";"2019JJ00";"     450"
"7083";"T001038";"T001040";"PC1686  ";"2019JJ00";"     120"
"7105";"T001038";"T001040";"PC1687  ";"2019JJ00";"    6245"
"7127";"T001038";"T001040";"PC1688  ";"2019JJ00";"    2450"
"7149";"T001038";"T001040";"PC1689  ";"2019JJ00";"   17030"
"7171";"T001038";"T001040";"PC1691  ";"2019JJ00";"     655"
"7193";"T001038";"T001040";"PC1692  ";"2019JJ00";"      30"
"7215";"T001038";"T001040";"PC1693  ";"2019JJ00";"    8060"
"7237";"T001038";"T001040";"PC1695  ";"2019JJ00";"    4185"
"7259";"T001038";"T001040";"PC1696  ";"2019JJ00";"    1520"
"7281";"T001038";"T001040";"PC1697  ";"2019JJ00";"     840"
"7303";"T001038";"T001040";"PC1701  ";"2019JJ00";"    8770"
"7325";"T001038";"T001040";"PC1702  ";"2019JJ00";"    8535"
"7347";"T001038";"T001040";"PC1703  ";"2019JJ00";"   12645"
"7369";"T001038";"T001040";"PC1704  ";"2019JJ00";"    8335"
"7391";"T001038";"T001040";"PC1705  ";"2019JJ00";"   17070"
"7413";"T001038";"T001040";"PC1706  ";"2019JJ00";"    1370"
"7435";"T001038";"T001040";"PC1711  ";"2019JJ00";"    1620"
"7457";"T001038";"T001040";"PC1713  ";"2019JJ00";"    5915"
"7479";"T001038";"T001040";"PC1715  ";"2019JJ00";"    4210"
"7501";"T001038";"T001040";"PC1716  ";"2019JJ00";"    2225"
"7523";"T001038";"T001040";"PC1718  ";"2019JJ00";"    4005"
"7545";"T001038";"T001040";"PC1719  ";"2019JJ00";"     470"
"7567";"T001038";"T001040";"PC1721  ";"2019JJ00";"    6140"
"7589";"T001038";"T001040";"PC1722  ";"2019JJ00";"    6015"
"7611";"T001038";"T001040";"PC1723  ";"2019JJ00";"    5605"
"7633";"T001038";"T001040";"PC1724  ";"2019JJ00";"    3930"
"7655";"T001038";"T001040";"PC1731  ";"2019JJ00";"    3395"
"7677";"T001038";"T001040";"PC1732  ";"2019JJ00";"     750"
"7699";"T001038";"T001040";"PC1733  ";"2019JJ00";"    3370"
"7721";"T001038";"T001040";"PC1734  ";"2019JJ00";"     410"
"7743";"T001038";"T001040";"PC1735  ";"2019JJ00";"    2110"
"7765";"T001038";"T001040";"PC1736  ";"2019JJ00";"     390"
"7787";"T001038";"T001040";"PC1738  ";"2019JJ00";"    2630"
"7809";"T001038";"T001040";"PC1741  ";"2019JJ00";"   12470"
"7831";"T001038";"T001040";"PC1742  ";"2019JJ00";"    6560"
"7853";"T001038";"T001040";"PC1744  ";"2019JJ00";"    1900"
"7875";"T001038";"T001040";"PC1746  ";"2019JJ00";"    1675"
"7897";"T001038";"T001040";"PC1747  ";"2019JJ00";"    3785"
"7919";"T001038";"T001040";"PC1749  ";"2019JJ00";"    6100"
"7941";"T001038";"T001040";"PC1751  ";"2019JJ00";"    2080"
"7963";"T001038";"T001040";"PC1752  ";"2019JJ00";"     730"
"7985";"T001038";"T001040";"PC1753  ";"2019JJ00";"     625"
"8007";"T001038";"T001040";"PC1754  ";"2019JJ00";"     820"
"8029";"T001038";"T001040";"PC1755  ";"2019JJ00";"    1650"
"8051";"T001038";"T001040";"PC1756  ";"2019JJ00";"    2435"
"8073";"T001038";"T001040";"PC1757  ";"2019JJ00";"     715"
"8095";"T001038";"T001040";"PC1759  ";"2019JJ00";"    2375"
"8117";"T001038";"T001040";"PC1761  ";"2019JJ00";"    8230"
"8139";"T001038";"T001040";"PC1764  ";"2019JJ00";"    3780"
"8161";"T001038";"T001040";"PC1766  ";"2019JJ00";"    2275"
"8183";"T001038";"T001040";"PC1767  ";"2019JJ00";"    1010"
"8205";"T001038";"T001040";"PC1768  ";"2019JJ00";"     940"
"8227";"T001038";"T001040";"PC1769  ";"2019JJ00";"     185"
"8249";"T001038";"T001040";"PC1771  ";"2019JJ00";"    6040"
"8271";"T001038";"T001040";"PC1773  ";"2019JJ00";"     595"
"8293";"T001038";"T001040";"PC1774  ";"2019JJ00";"    2110"
"8315";"T001038";"T001040";"PC1775  ";"2019JJ00";"    3785"
"8337";"T001038";"T001040";"PC1777  ";"2019JJ00";"    5125"
"8359";"T001038";"T001040";"PC1778  ";"2019JJ00";"     925"
"8381";"T001038";"T001040";"PC1779  ";"2019JJ00";"    2390"
"8403";"T001038";"T001040";"PC1781  ";"2019JJ00";"    8975"
"8425";"T001038";"T001040";"PC1782  ";"2019JJ00";"   10405"
"8447";"T001038";"T001040";"PC1783  ";"2019JJ00";"    2670"
"8469";"T001038";"T001040";"PC1784  ";"2019JJ00";"    9200"
"8491";"T001038";"T001040";"PC1785  ";"2019JJ00";"    9205"
"8513";"T001038";"T001040";"PC1786  ";"2019JJ00";"     160"
"8535";"T001038";"T001040";"PC1787  ";"2019JJ00";"    2400"
